Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000012,5/30/2022 7:17,David Randolph,"BBQ Sauce', 'Soda', 'Lawn Mower'",9,21.29,Credit Card,Atlanta,Department Store,TRUE,Middle-Aged,Spring,Discount on Selected Items
1000000013,5/21/2021 18:47,Maria Munoz,"Ironing Board', 'Laundry Detergent', 'Deodorant', 'Cereal'",2,47.49,Mobile Payment,Seattle,Convenience Store,FALSE,Retiree,Summer,Discount on Selected Items
1000000014,2/26/2023 11:38,Christopher Barnett,"Lawn Mower', 'Tea'",8,15.67,Credit Card,New York,Warehouse Club,FALSE,Senior Citizen,Fall,None
1000000015,4/28/2021 4:39,Jonathan Roach,Syrup',9,43.35,Cash,Los Angeles,Pharmacy,TRUE,Retiree,Summer,None
1000000016,4/1/2023 20:30,Alexander Hall,"Tea', 'Spinach', 'Mustard', 'Cleaning Rags', 'Peanut Butter'",9,5.3,Cash,San Francisco,Pharmacy,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000017,12/20/2022 12:56,Bryan Smith,"Tuna', 'Bath Towels', 'Potatoes'",8,64.76,Cash,Chicago,Specialty Store,FALSE,Teenager,Winter,Discount on Selected Items
1000000018,12/10/2022 9:44,Kayla Sanchez,"Syrup', 'Yogurt', 'Eggs'",5,78.64,Credit Card,Boston,Convenience Store,TRUE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000019,1/1/2021 19:48,Adam Foster,Eggs',1,60.29,Debit Card,San Francisco,Warehouse Club,FALSE,Student,Summer,None
1000000020,10/22/2021 21:05,Nancy Mcdonald,"Eggs', 'Razors', 'Peanut Butter', 'Toothpaste', 'Cheese'",7,98.81,Debit Card,Atlanta,Pharmacy,FALSE,Professional,Spring,BOGO (Buy One Get One)
1000000021,3/21/2022 3:41,Mary Chandler,"Shrimp', 'Milk', 'Dish Soap'",4,16.62,Cash,Los Angeles,Department Store,FALSE,Middle-Aged,Winter,Discount on Selected Items
1000000022,8/30/2021 4:37,Kimberly Baird,"Cereal', 'Water', 'Bread', 'Laundry Detergent'",5,28.99,Credit Card,Los Angeles,Department Store,FALSE,Senior Citizen,Spring,None
1000000023,11/27/2022 11:43,Jonathan Campbell,"Insect Repellent', 'Soda', 'Laundry Detergent'",4,93.1,Mobile Payment,Seattle,Convenience Store,TRUE,Retiree,Winter,BOGO (Buy One Get One)
1000000024,2/21/2020 7:38,Larry Stephens,"Dishware', 'Plant Fertilizer', 'Hair Gel', 'Apple', 'Toothpaste'",5,28.31,Debit Card,Miami,Supermarket,FALSE,Middle-Aged,Spring,None
1000000025,2/26/2023 11:12,Jonathan Cross,"Extension Cords', 'Orange'",10,71.56,Credit Card,New York,Supermarket,FALSE,Professional,Summer,Discount on Selected Items
1000000026,11/22/2020 12:40,Michael Powers,"Pasta', 'Soda', 'Chips', 'Apple', 'Sponges'",6,75.45,Mobile Payment,New York,Warehouse Club,TRUE,Senior Citizen,Fall,Discount on Selected Items
1000000027,9/25/2020 22:12,Katrina Martin,"Salmon', 'Dustpan'",7,86.02,Cash,Atlanta,Department Store,TRUE,Professional,Spring,None
1000000028,1/11/2021 15:48,James Allen,"Feminine Hygiene Products', 'Light Bulbs'",5,18.69,Credit Card,Seattle,Pharmacy,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000029,10/10/2022 3:16,David Jordan,Pancake Mix',3,52.58,Cash,Seattle,Convenience Store,FALSE,Senior Citizen,Spring,None
1000000030,7/16/2022 4:15,Kimberly Carlson,"Trash Bags', 'Cheese', 'Toilet Paper', 'Insect Repellent'",4,9.33,Mobile Payment,Los Angeles,Supermarket,TRUE,Student,Fall,None
1000000031,7/14/2022 1:38,Joshua Butler,Vacuum Cleaner',6,37.15,Mobile Payment,Dallas,Warehouse Club,TRUE,Retiree,Summer,None
1000000032,6/24/2021 12:18,Steve Jimenez,"Potatoes', 'Olive Oil', 'Laundry Detergent', 'Banana'",6,31.03,Mobile Payment,Atlanta,Pharmacy,TRUE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000033,12/29/2020 19:59,Desiree Diaz,"Toilet Paper', 'Sponges', 'Yogurt', 'Syrup'",3,44.04,Credit Card,Houston,Pharmacy,FALSE,Middle-Aged,Spring,Discount on Selected Items
1000000034,7/15/2023 17:00,Ryan King,"Pasta', 'Ice Cream', 'Pancake Mix', 'Vinegar', 'Onions'",6,18.49,Mobile Payment,Los Angeles,Supermarket,FALSE,Senior Citizen,Summer,Discount on Selected Items
1000000035,2/4/2023 14:19,Russell Hayes,"Apple', 'Cereal Bars'",10,77.66,Debit Card,New York,Specialty Store,FALSE,Young Adult,Spring,BOGO (Buy One Get One)
1000000036,9/6/2020 10:41,Christine Wells,Rice',7,14.35,Mobile Payment,Miami,Department Store,TRUE,Middle-Aged,Spring,Discount on Selected Items
1000000037,9/27/2023 22:59,Cathy Smith,"Milk', 'Shower Gel'",4,12.46,Mobile Payment,Dallas,Department Store,TRUE,Senior Citizen,Winter,None
1000000038,3/19/2022 23:44,Randy Beck,Pickles',5,86.11,Cash,New York,Supermarket,FALSE,Professional,Spring,None
1000000039,4/5/2023 10:26,Joanne Wood,"Dustpan', 'Shower Gel', 'Beef', 'Broom'",10,45.07,Debit Card,Boston,Supermarket,FALSE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000040,6/28/2023 11:17,Joseph Williamson,"Pasta', 'Trash Bags', 'Orange', 'Rice', 'Tea'",4,19.32,Mobile Payment,Dallas,Specialty Store,FALSE,Teenager,Spring,BOGO (Buy One Get One)
1000000041,6/27/2023 16:06,Makayla Moore,"Laundry Detergent', 'Extension Cords'",6,19.96,Cash,Houston,Supermarket,FALSE,Student,Spring,None
1000000042,9/27/2021 15:39,Jennifer Bailey,"Toilet Paper', 'Shower Gel', 'Deodorant'",6,78.04,Cash,Dallas,Specialty Store,FALSE,Senior Citizen,Spring,BOGO (Buy One Get One)
1000000043,9/21/2022 14:22,Angela Johnson,"Toothpaste', 'Ice Cream'",7,8.91,Credit Card,Dallas,Specialty Store,TRUE,Homemaker,Spring,BOGO (Buy One Get One)
1000000044,2/24/2022 13:18,Lisa Harper,"Broom', 'Shrimp', 'Toothpaste', 'Shower Gel', 'Dishware'",9,97.61,Credit Card,Boston,Convenience Store,TRUE,Student,Fall,BOGO (Buy One Get One)
1000000045,12/2/2022 21:05,Pamela Duffy,"Plant Fertilizer', 'Power Strips', 'Beef', 'Mayonnaise'",9,88.65,Cash,San Francisco,Convenience Store,FALSE,Professional,Fall,None
1000000046,1/16/2022 3:46,Michelle Foster,"Power Strips', 'Soda'",5,44.08,Debit Card,Boston,Warehouse Club,TRUE,Teenager,Summer,BOGO (Buy One Get One)
1000000047,11/17/2021 4:54,Tina Combs,"Toothpaste', 'Toothbrush'",8,73.28,Credit Card,Chicago,Supermarket,TRUE,Young Adult,Fall,Discount on Selected Items
1000000048,3/10/2021 4:35,Anthony Ray,"Onions', 'Garden Hose', 'Vacuum Cleaner', 'Cereal Bars'",4,10.26,Cash,Miami,Convenience Store,TRUE,Student,Winter,None
1000000049,6/8/2023 14:17,Brianna Johnson,"Onions', 'Canned Soup'",2,47.37,Cash,Boston,Convenience Store,TRUE,Retiree,Fall,BOGO (Buy One Get One)
1000000050,8/16/2023 19:31,Justin Smith,"Feminine Hygiene Products', 'Hair Gel'",10,22.07,Cash,New York,Convenience Store,FALSE,Teenager,Fall,BOGO (Buy One Get One)
1000000051,7/13/2022 17:14,Tonya Moreno,"Soap', 'Apple', 'Butter', 'Pasta'",7,45.6,Cash,Houston,Warehouse Club,FALSE,Homemaker,Fall,None
1000000052,10/30/2023 5:42,Hannah Foley,"Baby Wipes', 'Cereal', 'Shower Gel', 'Tuna', 'Soda'",8,79.34,Cash,Miami,Convenience Store,TRUE,Middle-Aged,Fall,Discount on Selected Items
1000000053,5/2/2020 14:11,Katie Whitney,Diapers',2,38.38,Debit Card,Miami,Specialty Store,FALSE,Senior Citizen,Spring,None
1000000054,7/30/2021 15:29,Amanda Jones,Spinach',9,39.12,Mobile Payment,Dallas,Department Store,FALSE,Retiree,Spring,Discount on Selected Items
1000000055,8/24/2021 11:23,Cory Jensen,"Orange', 'Shower Gel', 'Insect Repellent', 'Hair Gel'",9,50.25,Debit Card,Los Angeles,Convenience Store,FALSE,Retiree,Summer,Discount on Selected Items
1000000056,2/24/2020 19:41,Jamie Brown,Paper Towels',6,77.82,Mobile Payment,Chicago,Pharmacy,TRUE,Middle-Aged,Summer,None
1000000057,9/11/2023 20:47,Ryan Reyes,Trash Bags',1,60.31,Debit Card,Atlanta,Pharmacy,TRUE,Retiree,Spring,None
1000000058,7/13/2022 12:32,Jessica Mooney,"Onions', 'Broom', 'Iron'",9,98.39,Credit Card,Houston,Specialty Store,FALSE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000059,2/24/2021 5:02,Heidi May,"Razors', 'Water'",9,64.91,Mobile Payment,Dallas,Convenience Store,FALSE,Middle-Aged,Summer,Discount on Selected Items
1000000060,4/7/2023 0:13,Anthony Richard,"Orange', 'Diapers', 'Vinegar'",5,7.65,Mobile Payment,Miami,Convenience Store,FALSE,Middle-Aged,Summer,BOGO (Buy One Get One)
1000000061,1/8/2020 19:13,Sarah Gross,"Bath Towels', 'Ironing Board', 'Rice'",9,11.45,Credit Card,Miami,Department Store,FALSE,Middle-Aged,Summer,None
1000000062,9/15/2022 11:53,Susan Robinson,Carrots',9,18.11,Debit Card,Houston,Specialty Store,FALSE,Homemaker,Winter,BOGO (Buy One Get One)
1000000063,5/31/2022 19:12,Cynthia Mendoza,"Apple', 'Shampoo', 'Tissues', 'Power Strips'",3,10.01,Debit Card,San Francisco,Department Store,FALSE,Student,Fall,Discount on Selected Items
1000000064,6/28/2020 3:54,Zachary James,"Onions', 'Sponges'",8,65.94,Cash,Dallas,Convenience Store,FALSE,Young Adult,Summer,None
1000000065,10/18/2020 10:58,Marissa Scott,Apple',10,28.37,Cash,San Francisco,Supermarket,TRUE,Teenager,Spring,BOGO (Buy One Get One)
1000000066,6/5/2021 12:59,Jacqueline Mclean DVM,"Shaving Cream', 'Pasta', 'Cleaning Spray', 'Rice', 'Onions'",10,40.02,Mobile Payment,Houston,Department Store,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000067,12/22/2021 10:23,Krista Stewart,"Ketchup', 'Salmon', 'Banana', 'Olive Oil', 'Eggs'",2,66.84,Credit Card,Miami,Supermarket,FALSE,Retiree,Fall,BOGO (Buy One Get One)
1000000068,8/5/2021 23:47,Mike Taylor,Shaving Cream',7,39.3,Credit Card,Atlanta,Supermarket,FALSE,Student,Summer,Discount on Selected Items
1000000069,6/23/2023 20:34,Heather Johnson,"Trash Cans', 'Diapers'",1,63.22,Credit Card,Chicago,Supermarket,FALSE,Homemaker,Winter,None
1000000070,1/16/2021 13:15,Tiffany Ramirez,Carrots',2,38.61,Debit Card,Houston,Warehouse Club,FALSE,Homemaker,Spring,BOGO (Buy One Get One)
1000000071,9/30/2022 4:40,James Taylor,"Deodorant', 'Tuna', 'Bread'",1,8.4,Credit Card,Chicago,Convenience Store,TRUE,Middle-Aged,Summer,Discount on Selected Items
1000000072,7/30/2020 15:48,Gabriela Bryan,"Paper Towels', 'Pickles', 'Eggs', 'Shower Gel', 'Pasta'",2,12.6,Mobile Payment,New York,Supermarket,TRUE,Senior Citizen,Summer,None
1000000073,5/7/2023 18:54,Janet Hogan MD,"Air Freshener', 'Ironing Board', 'Yogurt'",2,55.59,Cash,Dallas,Supermarket,TRUE,Professional,Spring,BOGO (Buy One Get One)
1000000074,12/8/2020 5:48,David Burton,"Cereal', 'Broom'",8,39.73,Cash,Los Angeles,Warehouse Club,FALSE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000075,2/17/2021 2:15,Jessica Cohen,"Trash Bags', 'Canned Soup', 'Tea'",7,42,Credit Card,Houston,Convenience Store,TRUE,Homemaker,Winter,Discount on Selected Items
1000000076,8/16/2021 20:23,Katherine Martin,"Broom', 'Salmon'",5,11.08,Debit Card,Chicago,Department Store,TRUE,Retiree,Fall,Discount on Selected Items
1000000077,12/10/2022 20:05,Amy Larsen,"Sponges', 'Cheese'",3,89.95,Credit Card,Dallas,Supermarket,FALSE,Retiree,Winter,Discount on Selected Items
1000000078,6/15/2020 15:04,Adrienne Mitchell,Plant Fertilizer',8,85.92,Credit Card,Atlanta,Pharmacy,FALSE,Senior Citizen,Spring,None
1000000079,5/3/2022 3:04,Michael Murphy,"Dustpan', 'Potatoes', 'Razors', 'Hair Gel', 'Dishware'",10,20.75,Debit Card,New York,Convenience Store,FALSE,Middle-Aged,Summer,None
1000000080,5/20/2021 1:36,Benjamin Walls,"Sponges', 'Honey', 'Butter', 'Coffee'",3,9.39,Debit Card,Dallas,Warehouse Club,TRUE,Professional,Winter,None
1000000081,3/23/2023 7:10,Steven Valdez,"Dishware', 'Dish Soap', 'Banana', 'Shrimp', 'Shower Gel'",10,93.3,Cash,New York,Supermarket,FALSE,Homemaker,Spring,Discount on Selected Items
1000000082,10/27/2022 10:25,Craig Cook,"Chicken', 'Toilet Paper', 'Vinegar', 'Chips'",8,93.29,Mobile Payment,Atlanta,Pharmacy,FALSE,Young Adult,Fall,BOGO (Buy One Get One)
1000000083,7/6/2022 10:36,Amanda Burns MD,"Ketchup', 'Razors', 'Plant Fertilizer'",6,70.8,Cash,Los Angeles,Pharmacy,FALSE,Senior Citizen,Fall,Discount on Selected Items
1000000084,5/28/2021 2:23,Gregory Stevens,"Light Bulbs', 'Pancake Mix', 'Beef'",5,11.03,Credit Card,Houston,Supermarket,TRUE,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000085,12/18/2021 21:58,Jennifer Allen,"Spinach', 'Garden Hose', 'Mustard', 'Shampoo', 'Mayonnaise'",1,72.68,Cash,Dallas,Department Store,TRUE,Professional,Winter,Discount on Selected Items
1000000086,2/3/2021 9:30,Heather Leonard,"Canned Soup', 'Tea', 'Vacuum Cleaner'",4,47.11,Debit Card,Atlanta,Warehouse Club,TRUE,Homemaker,Winter,Discount on Selected Items
1000000087,1/8/2020 6:42,Dr. Christy Velasquez,"Hair Gel', 'Pasta', 'Dishware'",8,37.87,Mobile Payment,Houston,Pharmacy,TRUE,Homemaker,Winter,Discount on Selected Items
1000000088,7/9/2023 4:56,Jasmin Oconnell,"Plant Fertilizer', 'Mop', 'Bread', 'Salmon', 'Spinach'",5,77.83,Mobile Payment,Dallas,Convenience Store,TRUE,Student,Winter,BOGO (Buy One Get One)
1000000089,10/22/2021 5:23,Jasmine Hull,"Feminine Hygiene Products', 'Shrimp', 'Orange'",9,70.97,Credit Card,New York,Specialty Store,TRUE,Teenager,Spring,BOGO (Buy One Get One)
1000000090,12/31/2020 1:16,Grace Duran,"Shaving Cream', 'Iron', 'Toothpaste', 'Soda'",8,93,Mobile Payment,Atlanta,Supermarket,TRUE,Teenager,Winter,Discount on Selected Items
1000000091,1/24/2020 22:10,Lauren Wilson,"Vinegar', 'Cheese', 'Onions', 'Canned Soup'",7,92.95,Credit Card,Chicago,Pharmacy,FALSE,Middle-Aged,Fall,None
1000000092,8/5/2021 19:04,Amber Wise,"Dustpan', 'Iron'",7,96.79,Cash,Atlanta,Supermarket,FALSE,Professional,Spring,None
1000000093,8/3/2020 4:41,Daniel Thompson,"Hair Gel', 'Tissues', 'Iron'",2,73.79,Mobile Payment,Los Angeles,Convenience Store,FALSE,Homemaker,Summer,Discount on Selected Items
1000000094,1/16/2023 2:42,Kayla Navarro,"Toothbrush', 'Garden Hose'",7,61.08,Cash,Miami,Supermarket,FALSE,Retiree,Winter,Discount on Selected Items
1000000095,8/11/2022 9:14,Sarah Moore DDS,Plant Fertilizer',6,24.98,Debit Card,Los Angeles,Convenience Store,TRUE,Middle-Aged,Fall,None
1000000096,3/10/2020 16:03,Benjamin Johnson,"Syrup', 'Soda', 'Shrimp', 'Soap'",5,41.13,Mobile Payment,San Francisco,Convenience Store,FALSE,Student,Fall,None
1000000097,12/29/2021 21:57,Erin Parker,"Shampoo', 'Toothbrush'",1,39.32,Debit Card,Atlanta,Pharmacy,TRUE,Retiree,Summer,Discount on Selected Items
1000000098,11/1/2020 1:12,Cynthia Garcia,"Banana', 'Chicken', 'Tomatoes', 'Dish Soap'",9,10.72,Mobile Payment,Dallas,Warehouse Club,TRUE,Professional,Spring,BOGO (Buy One Get One)
1000000099,6/29/2023 3:19,Eduardo Brown,"Shaving Cream', 'Bread'",8,7.08,Mobile Payment,Chicago,Supermarket,FALSE,Student,Summer,Discount on Selected Items
1000000100,3/29/2022 5:47,Kristen Owens,"Pickles', 'Chips'",3,83.53,Mobile Payment,Miami,Supermarket,FALSE,Teenager,Winter,None
1000000101,12/21/2020 18:23,Luis Martin,"Razors', 'Rice'",1,85.78,Debit Card,New York,Specialty Store,TRUE,Middle-Aged,Spring,None
1000000102,2/25/2020 13:42,Stephen Huffman,"Plant Fertilizer', 'Chicken', 'Ironing Board', 'Diapers'",7,89.24,Cash,Chicago,Specialty Store,TRUE,Middle-Aged,Winter,None
1000000103,8/14/2020 3:02,Aaron Pham,"Light Bulbs', 'Chips'",6,13.32,Mobile Payment,Dallas,Convenience Store,FALSE,Student,Winter,None
1000000104,4/8/2022 2:43,Michelle Hughes,"Bread', 'Cereal Bars'",2,9.37,Cash,Boston,Specialty Store,FALSE,Young Adult,Summer,BOGO (Buy One Get One)
1000000105,4/3/2020 0:24,Bonnie Henderson,"Vacuum Cleaner', 'Diapers', 'Water', 'Ironing Board'",3,11.65,Debit Card,Houston,Convenience Store,TRUE,Professional,Spring,Discount on Selected Items
1000000106,8/10/2023 9:12,Kaitlin Watkins,"Eggs', 'Diapers'",5,80.22,Debit Card,Dallas,Specialty Store,TRUE,Student,Winter,None
1000000107,2/26/2022 3:44,John Reed,"Vacuum Cleaner', 'Power Strips', 'Trash Cans'",3,23.03,Mobile Payment,New York,Warehouse Club,FALSE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000108,1/6/2021 18:13,Manuel Dickson,"Shampoo', 'Baby Wipes', 'Cleaning Spray'",8,97.46,Mobile Payment,Seattle,Warehouse Club,TRUE,Senior Citizen,Fall,Discount on Selected Items
1000000109,1/28/2021 23:18,John Tucker,Cereal',8,19.57,Mobile Payment,Atlanta,Convenience Store,TRUE,Homemaker,Winter,None
1000000110,11/6/2021 8:19,Maria Williams,"Yogurt', 'Canned Soup', 'Pancake Mix', 'Butter'",9,50.07,Debit Card,Miami,Convenience Store,TRUE,Student,Spring,None
1000000111,7/8/2020 4:30,Thomas Johnson,"Dustpan', 'Hand Sanitizer'",3,45.72,Debit Card,Seattle,Department Store,FALSE,Professional,Spring,None
1000000112,9/14/2022 3:34,Steven Parker,"Shower Gel', 'Cereal Bars', 'Cheese', 'Cereal Bars', 'Paper Towels'",3,71.9,Credit Card,Dallas,Supermarket,FALSE,Middle-Aged,Summer,BOGO (Buy One Get One)
1000000113,10/5/2022 0:48,Scott Rodriguez,Bath Towels',1,14.94,Debit Card,Chicago,Pharmacy,TRUE,Young Adult,Winter,BOGO (Buy One Get One)
1000000114,4/25/2020 7:04,Timothy Payne,"Rice', 'Mop', 'Olive Oil', 'Chips'",4,58.21,Mobile Payment,Dallas,Pharmacy,FALSE,Young Adult,Winter,None
1000000115,1/12/2020 10:48,Angela Holder,"Bread', 'Ice Cream', 'Broom', 'Broom', 'Shampoo'",3,24.07,Cash,Chicago,Warehouse Club,TRUE,Teenager,Summer,Discount on Selected Items
1000000116,2/14/2021 13:00,Jennifer Martin,"Bath Towels', 'Ice Cream', 'Vacuum Cleaner', 'Chicken', 'Salmon'",3,30.45,Credit Card,Houston,Warehouse Club,TRUE,Retiree,Spring,None
1000000117,5/14/2021 21:27,Chris Jones,"Water', 'Mayonnaise'",2,92.03,Cash,Miami,Pharmacy,TRUE,Professional,Winter,None
1000000118,4/24/2023 21:26,Kelly Reed,"Iron', 'Toothpaste'",4,32.11,Mobile Payment,San Francisco,Pharmacy,TRUE,Student,Fall,Discount on Selected Items
1000000119,5/7/2021 1:36,Stephanie Mcdaniel,Extension Cords',7,73.58,Debit Card,Miami,Specialty Store,TRUE,Middle-Aged,Fall,Discount on Selected Items
1000000120,10/20/2022 4:54,Daniel Cruz,"Eggs', 'Bath Towels', 'Plant Fertilizer'",1,61.35,Mobile Payment,Boston,Convenience Store,FALSE,Student,Summer,None
1000000121,10/10/2020 0:59,James Thomas,"Cereal', 'Onions', 'Tuna', 'Coffee', 'Orange'",3,70.85,Mobile Payment,Seattle,Convenience Store,TRUE,Student,Fall,Discount on Selected Items
1000000122,8/17/2020 18:19,Courtney Taylor,"Baby Wipes', 'Beef', 'Insect Repellent', 'Hair Gel', 'Garden Hose'",3,35.83,Credit Card,Boston,Pharmacy,TRUE,Middle-Aged,Spring,Discount on Selected Items
1000000123,3/5/2023 8:52,Vincent Vargas,"Mop', 'Ketchup', 'Rice', 'Mayonnaise'",1,98.06,Cash,Seattle,Pharmacy,TRUE,Professional,Summer,BOGO (Buy One Get One)
1000000124,2/24/2023 18:44,Holly Maldonado,"Hair Gel', 'Carrots', 'Bath Towels', 'Plant Fertilizer', 'Deodorant'",8,92.57,Credit Card,Los Angeles,Warehouse Club,TRUE,Senior Citizen,Fall,Discount on Selected Items
1000000125,1/4/2022 4:37,Rhonda Harris,"Cereal Bars', 'Canned Soup', 'Toothpaste'",6,61.33,Cash,Chicago,Supermarket,FALSE,Homemaker,Fall,None
1000000126,8/13/2022 22:25,John Fisher,"Tuna', 'Hand Sanitizer'",2,94.37,Credit Card,Atlanta,Pharmacy,FALSE,Professional,Winter,Discount on Selected Items
1000000127,2/14/2023 6:55,Amy Edwards,"Cereal', 'Mustard', 'Toothbrush', 'Soap'",4,75.68,Debit Card,Miami,Department Store,TRUE,Professional,Fall,None
1000000128,6/23/2022 22:55,Katherine Briggs,"Salmon', 'Cereal', 'Paper Towels', 'Bath Towels'",3,71.07,Debit Card,Atlanta,Warehouse Club,TRUE,Young Adult,Fall,BOGO (Buy One Get One)
1000000129,5/31/2021 20:30,Richard Gregory,"Bath Towels', 'Ironing Board', 'Bath Towels', 'Toothpaste', 'Cleaning Rags'",6,83.82,Mobile Payment,Los Angeles,Department Store,FALSE,Professional,Summer,None
1000000130,8/3/2022 19:40,Kristi Ray,"Canned Soup', 'Beef', 'Mustard', 'Yogurt'",8,74.71,Debit Card,Boston,Convenience Store,FALSE,Homemaker,Winter,BOGO (Buy One Get One)
1000000131,7/8/2023 17:11,Amy Baker,"Syrup', 'Soap', 'Feminine Hygiene Products'",7,22.45,Credit Card,Chicago,Warehouse Club,TRUE,Student,Fall,BOGO (Buy One Get One)
1000000132,10/15/2023 2:55,Angela Smith,"Water', 'Canned Soup'",9,87.31,Credit Card,Dallas,Department Store,TRUE,Homemaker,Winter,Discount on Selected Items
1000000133,12/17/2020 14:58,Karen Carpenter DVM,"Plant Fertilizer', 'Light Bulbs', 'Shower Gel'",3,72.64,Mobile Payment,Seattle,Department Store,TRUE,Professional,Summer,BOGO (Buy One Get One)
1000000134,1/21/2022 10:30,Mr. Paul Owens,"Tuna', 'Milk', 'Baby Wipes', 'Onions', 'Peanut Butter'",2,14.45,Cash,Seattle,Convenience Store,FALSE,Teenager,Spring,None
1000000135,3/1/2022 9:47,Teresa Phillips,"Laundry Detergent', 'Olive Oil', 'Peanut Butter', 'Dishware', 'Pickles'",8,14.78,Cash,Atlanta,Department Store,TRUE,Retiree,Winter,None
1000000136,12/18/2020 23:17,Rebecca Graham,"Butter', 'Shower Gel', 'Bread'",8,54.17,Mobile Payment,Dallas,Supermarket,TRUE,Student,Summer,None
1000000137,3/11/2023 22:49,Elizabeth Summers,Ironing Board',4,56.22,Debit Card,New York,Specialty Store,FALSE,Teenager,Fall,Discount on Selected Items
1000000138,4/22/2022 22:28,Alyssa Zuniga,"Diapers', 'Air Freshener', 'Rice'",8,88.18,Credit Card,Atlanta,Convenience Store,TRUE,Professional,Spring,Discount on Selected Items
1000000139,5/24/2023 21:38,Daniel Thomas,"Coffee', 'Soda', 'Pasta', 'Toothbrush', 'Canned Soup'",2,86.66,Debit Card,New York,Supermarket,FALSE,Teenager,Spring,None
1000000140,1/2/2020 23:13,Tony Love,"Honey', 'Mustard', 'Deodorant'",9,53.69,Cash,Los Angeles,Pharmacy,FALSE,Teenager,Summer,Discount on Selected Items
1000000141,3/28/2022 0:26,James Ponce,"Chicken', 'Olive Oil', 'Chicken'",1,72.3,Cash,New York,Supermarket,TRUE,Teenager,Summer,Discount on Selected Items
1000000142,7/14/2021 15:48,Kimberly Cole,"Tissues', 'Shower Gel', 'Canned Soup', 'Light Bulbs'",4,61.2,Mobile Payment,New York,Department Store,FALSE,Senior Citizen,Summer,None
1000000143,9/21/2022 3:27,Kevin Sosa,"Tea', 'Garden Hose', 'Soap', 'Extension Cords'",5,60.6,Cash,Atlanta,Pharmacy,FALSE,Young Adult,Summer,None
1000000144,3/31/2020 18:35,Dr. Daniel Davidson,"Shrimp', 'Baby Wipes'",7,73.37,Mobile Payment,Los Angeles,Pharmacy,TRUE,Middle-Aged,Winter,BOGO (Buy One Get One)
