HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Surname,Deck,Cabin number,Side of ship,Group number,Passengers within group,Total spend,Group size,Is alone,No spending,Luxury spending,Basic spending,Spending per person,Transported
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Fullided,C,2,S,24,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Brookenson,F,6,S,25,1,1223.0,1,True,False,998.0,225.0,1223.0,False
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Unconary,C,0,P,26,1,7861.0,1,True,False,1766.0,6073.0,7861.0,False
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Mare,F,8,P,28,1,1309.0,1,True,False,48.0,136.0,1309.0,False
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Morsentley,G,4,S,30,1,1821.0,1,True,False,890.0,931.0,1821.0,False
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Datie,F,9,P,31,1,2854.0,3,False,False,1229.0,1411.0,951.3333333333334,True
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Datie,F,9,P,31,2,0.0,3,False,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,20.0,False,0.0,0.0,1750.0,990.0,0.0,Datie,F,9,P,31,3,2740.0,3,False,False,990.0,1750.0,913.3333333333334,True
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Oingwhedly,D,1,S,34,1,0.0,1,True,True,0.0,0.0,0.0,True
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Butte,D,1,P,35,1,2699.0,1,True,False,951.0,964.0,2699.0,False
Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,Leodger,F,8,S,36,1,961.0,1,True,False,421.0,540.0,961.0,False
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Wheelez,F,10,S,38,1,3355.0,1,True,False,2606.0,195.0,3355.0,False
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Batthewitt,G,1,P,39,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Moodsey,G,2,P,41,1,0.0,1,True,True,0.0,0.0,0.0,True
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Cylistrand,B,3,P,43,1,3575.0,1,True,False,3366.0,209.0,3575.0,False
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,G,3,P,44,1,0.0,3,False,True,0.0,0.0,0.0,False
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,G,3,P,44,2,0.0,3,False,True,0.0,0.0,0.0,True
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,G,3,P,44,3,0.0,3,False,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Chmad,F,10,P,45,1,1214.0,2,False,False,64.0,180.0,607.0,False
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Chmad,F,10,P,45,2,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,0.0,0.0,Lancis,E,1,S,50,1,790.0,1,True,False,0.0,0.0,790.0,False
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Johnshines,E,2,S,51,1,1618.0,1,True,False,1506.0,112.0,1618.0,False
Earth,False,TRAPPIST-1e,27.0,False,4.0,0.0,2.0,4683.0,0.0,Hubbarton,G,6,S,52,1,4689.0,1,True,False,4683.0,2.0,4689.0,False
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Hickerson,F,11,S,53,1,1939.0,1,True,False,1.0,1938.0,1939.0,True
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Tractive,A,1,S,56,1,0.0,3,False,True,0.0,0.0,0.0,True
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Tractive,A,1,S,56,2,0.0,3,False,True,0.0,0.0,0.0,True
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Tractive,A,1,S,56,3,4547.0,3,False,False,289.0,3979.0,1515.6666666666667,True
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Ayalazquez,G,7,S,58,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Salez,F,12,S,61,1,2667.0,1,True,False,1378.0,1244.0,2667.0,False
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Greeves,F,13,S,62,1,634.0,1,True,False,42.0,592.0,634.0,False
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Unknown,F,14,S,64,1,0.0,2,False,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Keen,E,3,S,64,2,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Pecketton,G,6,P,66,1,811.0,1,True,False,460.0,350.0,811.0,False
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Leeves,G,10,S,67,1,0.0,3,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Leeves,G,10,S,67,2,705.0,3,False,False,0.0,704.0,235.0,True
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Leeves,F,15,S,67,3,2007.0,3,False,False,24.0,37.0,669.0,False
Mars,False,TRAPPIST-1e,27.0,False,793.0,0.0,2.0,253.0,0.0,Binie,E,4,S,68,1,1048.0,1,True,False,253.0,2.0,1048.0,False
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,Unknown,F,16,S,69,1,902.0,1,True,False,6.0,9.0,902.0,True
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Brighttt,F,13,P,70,1,922.0,1,True,False,727.0,5.0,922.0,False
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Dillines,F,14,P,71,1,2233.0,1,True,False,52.0,2165.0,2233.0,False
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Brantuarez,F,17,S,72,1,1064.0,1,True,False,1063.0,1.0,1064.0,False
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Make,D,3,P,73,1,879.0,1,True,False,12.0,821.0,879.0,False
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Mostedry,C,3,S,74,1,8904.0,1,True,False,506.0,8397.0,8904.0,True
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Dal,F,18,S,76,1,1165.0,1,True,False,0.0,1018.0,1165.0,True
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Blité,F,15,P,77,1,1309.0,1,True,False,0.0,1295.0,1309.0,True
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Pokerheed,C,4,S,78,1,15815.0,1,True,False,9975.0,5840.0,15815.0,False
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Vinozarks,G,13,S,81,1,0.0,1,True,True,0.0,0.0,0.0,False
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Datte,F,16,P,82,1,7406.0,3,False,False,0.0,0.0,2468.6666666666665,False
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Datte,F,16,P,82,2,0.0,3,False,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Unknown,F,16,P,82,3,0.0,3,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coopezmaney,G,14,S,84,1,705.0,1,True,False,17.0,0.0,705.0,True
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Ellcefulve,C,5,S,85,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Kinson,F,17,P,86,1,1362.0,1,True,False,1151.0,0.0,1362.0,False
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Sacre,E,5,S,88,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Santry,G,15,S,90,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Yorkland,G,16,S,91,1,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Yorkland,F,20,S,91,2,917.0,2,False,False,188.0,728.0,458.5,False
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Dunnisey,G,9,P,92,1,705.0,3,False,False,35.0,670.0,235.0,False
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Hewson,G,9,P,92,2,0.0,3,False,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Hewson,G,9,P,92,3,0.0,3,False,True,0.0,0.0,0.0,True
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Fictful,A,2,S,97,1,1848.0,1,True,False,640.0,1208.0,1848.0,False
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Carezquez,G,11,P,98,1,893.0,2,False,False,32.0,861.0,446.5,False
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Carezquez,G,11,P,98,2,3855.0,2,False,False,87.0,3768.0,1927.5,True
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Leetersoney,F,19,P,99,1,1301.0,2,False,False,37.0,953.0,650.5,False
Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Connelson,G,12,P,99,2,0.0,2,False,True,0.0,0.0,0.0,True
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Trad,Unknown,-1,,101,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Holson,F,23,S,102,1,921.0,1,True,False,921.0,0.0,921.0,False
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,17.0,Mclainez,F,24,S,103,1,17.0,3,False,False,17.0,0.0,5.666666666666667,True
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Mclainez,G,18,S,103,2,0.0,3,False,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Mclainez,G,18,S,103,3,0.0,3,False,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Cleachrand,F,21,P,105,1,703.0,1,True,False,133.0,570.0,703.0,False
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Hart,D,2,S,107,1,1765.0,1,True,False,0.0,22.0,1765.0,False
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Handertiz,G,19,S,108,1,0.0,3,False,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,Unknown,G,19,S,108,2,888.0,3,False,False,0.0,326.0,296.0,False
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Handertiz,G,19,S,108,3,0.0,3,False,True,0.0,0.0,0.0,True
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Aloubtled,Unknown,-1,,110,1,5109.0,4,False,False,4693.0,416.0,1277.25,False
Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Bootious,B,5,P,110,2,2018.0,4,False,False,1687.0,331.0,504.5,False
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Aloubtled,B,5,P,110,3,15940.0,4,False,False,2313.0,11418.0,3985.0,True
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Aloubtled,B,5,P,110,4,0.0,4,False,True,0.0,0.0,0.0,True
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Supred,E,6,S,111,1,0.0,1,True,True,0.0,0.0,0.0,True
Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Cowtale,B,1,S,112,1,2654.0,1,True,False,30.0,2624.0,2654.0,True
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Carvis,F,23,P,113,1,804.0,1,True,False,0.0,804.0,804.0,True
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Beckerson,G,20,S,114,1,907.0,1,True,False,239.0,586.0,907.0,False
Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Pead,F,24,P,115,1,0.0,1,True,True,0.0,0.0,0.0,True
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Suptive,D,4,P,116,1,2640.0,1,True,False,416.0,2223.0,2640.0,True
Earth,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Coning,A,0,P,119,1,9307.0,2,False,False,6963.0,2344.0,4653.5,False
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Coning,A,0,P,119,2,0.0,2,False,True,0.0,0.0,0.0,True
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Sacre,F,25,P,120,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,Hayder,G,21,S,122,1,773.0,1,True,False,773.0,0.0,773.0,False
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,Fielson,F,27,P,123,1,702.0,1,True,False,1.0,646.0,702.0,False
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,Mish,F,27,S,126,1,0.0,1,True,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,Mesty,E,7,S,127,1,1022.0,1,True,False,25.0,296.0,1022.0,False
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,Fles,D,3,S,128,1,3014.0,2,False,False,318.0,343.0,1507.0,False
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,Fles,E,8,S,128,2,2109.0,2,False,False,0.0,6.0,1054.5,False
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,Fowles,G,22,S,129,1,0.0,1,True,True,0.0,0.0,0.0,True
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Blie,F,29,S,133,1,0.0,2,False,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,Blie,D,5,S,133,2,2738.0,2,False,False,0.0,0.0,1369.0,False
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,Harmontry,G,17,P,134,1,744.0,1,True,False,0.0,744.0,744.0,True
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,Unknown,G,23,S,136,1,721.0,1,True,False,80.0,544.0,721.0,False
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Gambs,G,18,P,138,1,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,Gambs,E,5,P,138,2,793.0,2,False,False,771.0,22.0,396.5,False
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,Myling,C,6,S,139,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Mejiaddox,G,19,P,140,1,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,Whitakers,F,29,P,140,2,902.0,2,False,False,462.0,0.0,451.0,False
Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,97.0,0.0,0.0,Harte,F,30,P,141,1,97.0,1,True,False,0.0,97.0,97.0,False
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,Dayers,F,31,S,144,1,630.0,1,True,False,0.0,630.0,630.0,True
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Wolferguson,G,25,S,146,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Hubbarrison,G,26,S,147,1,0.0,1,True,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,Pashe,F,31,P,148,1,1158.0,1,True,False,76.0,10.0,1158.0,False
Earth,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,Hubbarrison,G,27,S,149,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Simson,G,20,P,151,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,Estron,F,32,P,152,1,607.0,1,True,False,607.0,0.0,607.0,False
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,Atkinney,G,22,P,160,1,4180.0,1,True,False,61.0,0.0,4180.0,False
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Hetforhaft,B,8,P,163,1,0.0,2,False,True,0.0,0.0,0.0,True
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Hetforhaft,B,8,P,163,2,0.0,2,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,0.0,135.0,Hutchinton,G,28,S,164,1,1873.0,2,False,False,135.0,1688.0,936.5,True
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Hutchinton,G,28,S,164,2,0.0,2,False,True,0.0,0.0,0.0,False
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Anche,F,37,P,165,1,0.0,1,True,True,0.0,0.0,0.0,True
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Floaf,F,35,S,167,1,0.0,2,False,True,0.0,0.0,0.0,True
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,Floaf,F,35,S,167,2,1572.0,2,False,False,159.0,48.0,786.0,False
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Fisherry,G,23,P,169,1,0.0,1,True,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,Mcmahoney,E,10,S,170,1,788.0,1,True,False,788.0,0.0,788.0,False
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,Gordanieves,G,30,S,171,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Johnshines,G,24,P,172,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,Grifford,E,11,S,173,1,990.0,1,True,False,5.0,985.0,990.0,True
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,Lambles,F,38,P,174,1,593.0,1,True,False,290.0,16.0,593.0,False
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,Iniouser,B,2,S,177,1,27428.0,1,True,False,17081.0,10347.0,27428.0,False
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,Knik,D,6,S,178,1,3722.0,1,True,False,147.0,161.0,3722.0,False
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,Webstephrey,G,26,P,179,1,906.0,3,False,False,13.0,892.0,302.0,True
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Webstephrey,G,26,P,179,2,0.0,3,False,True,0.0,0.0,0.0,False
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Webstephrey,G,26,P,179,3,0.0,3,False,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,Brighttt,G,27,P,181,1,394.0,1,True,False,391.0,3.0,394.0,False
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Disight,C,3,P,182,1,0.0,1,True,True,0.0,0.0,0.0,True
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,Weaves,F,36,S,183,1,821.0,1,True,False,232.0,572.0,821.0,True
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,Shephendry,G,28,P,186,1,1018.0,1,True,False,956.0,0.0,1018.0,False
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Romez,G,31,S,188,1,0.0,1,True,True,0.0,0.0,0.0,True
